id;nclient;nom;prenom;etat;numero_fixe;contact_mobile_client;is_doublons
1;14605;vlan rédaction;personnel professionnel approfondir aigre;varier renaître;partenaire;juriste;true
2;29015;éliminer;drelin bzzz de sorte que;douter prout dans la mesure où;via multiple;guide rectangulaire;false
3;6268;moquer;orange afin que plouf;moderne de sorte que;asseoir à l'égard de;plic;false
4;9290;tandis que sédentaire durant;consommer ha;lentement;jeune enfant;camarade clac alentour;true
5;704;de façon à;oups sans;commis de cuisine crac;en decà de;innombrable dessiner;false
6;1434;un peu;sans sage;comme;rectorat;membre titulaire admirer assurément;true
7;29020;ouille;en bas de bzzz broum;soit;sauf à de;recta orange plic;true
8;16686;entre;glouglou spécialiste;rectorat en dehors de tellement;gratis insuffisamment;rectorat;true
9;17996;sombre parlementaire actionnaire;badaboum;ding au prix de triangulaire;téméraire approximativement;grandement;false
10;15842;avex aigre guide;rudement;gratis séculaire reposer;ouille aussitôt que;administration demain;false
